property_url,Rent,Sub-Type,Furnishing,Listed By,Car Parking,Meals Included,error
https://www.olx.in/item/pg-guest-houses-c1449-boys-pg-two-seater-5500rs-with-food-attached-washroom-in-industrial-area-phase-3-mohali-iid-1806239380,"₹ 5,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-60-phase-3b2-mohali-iid-1809591704,"₹ 3,000",PG,Semi-Furnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-room-mate-need-in-balongi-mohali-iid-1809118721,"₹ 2,500",Roommate,Semi-Furnished,,1,No,
https://www.olx.in/item/pg-guest-houses-c1449-urgent-room-mate-required-in-balongi-mohali-iid-1809586866,N/A,,,,,,Main content missing
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-60-mohali-iid-1807483602,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-to-let-for-girls-pg-in-landran-mohali-iid-1809586489,"₹ 7,000",PG,Furnished,Owner,3+,No,
https://www.olx.in/item/pg-guest-houses-c1449-shahi-majra-independent-one-room-with-kitchenatach-washroom-in-sector-59-phase-5-mohali-iid-1792005603,"₹ 6,500",PG,Furnished,Owner,2,No,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-60-mohali-iid-1809586190,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-affordable-ac-and-non-ac-rooms-for-girls-8-capacity-in-large-rooms-in-sector-117-mohali-iid-1809305516,"₹ 5,500",PG,Furnished,Owner,2,No,
https://www.olx.in/item/pg-guest-houses-c1449-fully-independent-1room-set-near-tp-it-tower-and-qurqk-city-mohali-in-sector-74-mohali-iid-1791369911,"₹ 3,999",PG,Semi-Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-69-mohali-iid-1803790362,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-rooms-near-mohali-chandigarh-5500-with-bed-mattress-and-almira-in-balongi-mohali-iid-1777883602,"₹ 5,000",PG,Furnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-roommate-required-boygirl-any-in-balongi-mohali-iid-1809555108,"₹ 2,000",Roommate,Unfurnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-walk-in-corporate-house-in-sector-74-mohali-iid-1797156332,"₹ 9,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-sco-22-nijjar-road-in-sector-126-mohali-iid-1807987153,"₹ 5,000",Guest Houses,Furnished,Owner,1,No,
https://www.olx.in/item/pg-guest-houses-c1449-room-available-for-monthly-rent-basis-in-sector-126-mohali-iid-1807849946,"₹ 6,000",PG,Furnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-one-room-set-with-basic-ammeneties-available-for-rent-in-sohana-village-mohali-iid-1808126568,"₹ 8,000",PG,Furnished,Owner,1,No,
https://www.olx.in/item/pg-guest-houses-c1449-newly-pg-for-girls-opp-8bsec-74-industrial-area-in-sector-74-mohali-iid-1769892642,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
